arq,description
numero_6_preto_branco.png,figura do número 6 em preto e branco
numero_9_preto_branco.png,figura do número 9 em preto e branco
boneca.png,imagem de uma boneca preto e branco
numero_8_preto_branco.png,figura do número 8 em preto e branco
numero_5_preto_branco.png,figura do número 5 em preto e branco
abacaxi_preto_branco.png,figura de um abacaxi em preto e branco
numero_4_preto_branco.png,figura do número 4 em preto e branco
sinal_mais.png,imagem de um sinal de mais
dado_5.png,imagem de um dado mostrando o lado com número 5
carrinho.png,imagem de um carro de brinquedo em preto e branco
dado_2.png,imagem de um dado mostrando o lado com número 2
numero_1_preto_branco.png,figura do número 1 em preto e branco
numero_2_preto_branco.png,figura do número 2 em preto e branco
numero_7_preto_branco.png,figura do número 7 em preto e branco
sinal_igual.png,imagem de um sinal de igual
maca_preto_branco.png,figura de uma maçã em preto e branco
dado_4.png,imagem de um dado mostrando o lado com número 4
dado_1.png,imagem de um dado mostrando o lado com número 1
dado_3.png,imagem de um dado mostrando o lado com número 3
dado_6.png,imagem de um dado mostrando o lado com número 6
numero_3_preto_branco.png,figura do número 3 em preto e branco
pirulito_preto_branco.png,imagem de um pirulito preto e branco
balao_sao_joao_preto_branco.png,imagem de um balão de são joão em preto e branco
sinal_menos.png,figura de um sinal de menos
menino-preto-branco.png,imagem de menino em preto e branco
cacho_de_uva_preto_branco.png,imagem de cacho de uvas em preto e branco
