Filename,Theme,Layout,Answerable,Naturalness,Usefulness,Diversity and Controllability,Personalization,Explainability
1.html,cafeteria,"observe image, write answer",,,,,,
2.html,cafeteria,"observe images, write answer",,,,,,
3.html,cafeteria,"observe images, draw answer",,,,,,
4.html,cafeteria,"observe images, link items",,,,,,
5.html,music,"observe image, write answer",,,,,,
6.html,music,"observe images, write answer",,,,,,
7.html,music,"observe images, draw answer",,,,,,
8.html,music,"observe images, link items",,,,,,
9.html,gardening,"observe image, write answer",,,,,,
10.html,gardening,"observe images, write answer",,,,,,
11.html,gardening,"observe images, draw answer",,,,,,
12.html,gardening,"observe images, link items",,,,,,
13.html,circus,"observe image, write answer",,,,,,
14.html,circus,"observe images, write answer",,,,,,
15.html,circus,"observe images, draw answer",,,,,,
16.html,circus,"observe images, link items",,,,,,
17.html,desert,"observe image, write answer",,,,,,
18.html,desert,"observe images, write answer",,,,,,
19.html,desert,"observe images, draw answer",,,,,,
20.html,desert,"observe images, link items",,,,,,
21.html,cafeteria,"observe image, write answer",,,,,,
22.html,cafeteria,"observe images, write answer",,,,,,
23.html,cafeteria,"observe images, draw answer",,,,,,
24.html,cafeteria,"observe images, link items",,,,,,
25.html,music,"observe image, write answer",,,,,,
26.html,music,"observe images, write answer",,,,,,
27.html,music,"observe images, draw answer",,,,,,
28.html,music,"observe images, link items",,,,,,
29.html,gardening,"observe image, write answer",,,,,,
30.html,gardening,"observe images, write answer",,,,,,
31.html,gardening,"observe images, draw answer",,,,,,
32.html,gardening,"observe images, link items",,,,,,
33.html,circus,"observe image, write answer",,,,,,
34.html,circus,"observe images, write answer",,,,,,
35.html,circus,"observe images, draw answer",,,,,,
36.html,circus,"observe images, link items",,,,,,
37.html,desert,"observe image, write answer",,,,,,
38.html,desert,"observe images, write answer",,,,,,
39.html,desert,"observe images, draw answer",,,,,,
40.html,desert,"observe images, link items",,,,,,
41.html,cafeteria,"observe image, write answer",,,,,,
42.html,cafeteria,"observe images, write answer",,,,,,
43.html,cafeteria,"observe images, draw answer",,,,,,
44.html,cafeteria,"observe images, link items",,,,,,
45.html,music,"observe image, write answer",,,,,,
46.html,music,"observe images, write answer",,,,,,
47.html,music,"observe images, draw answer",,,,,,
48.html,music,"observe images, link items",,,,,,
49.html,gardening,"observe image, write answer",,,,,,
50.html,gardening,"observe images, write answer",,,,,,
51.html,gardening,"observe images, draw answer",,,,,,
52.html,gardening,"observe images, link items",,,,,,
53.html,circus,"observe image, write answer",,,,,,
54.html,circus,"observe images, write answer",,,,,,
55.html,circus,"observe images, draw answer",,,,,,
56.html,circus,"observe images, link items",,,,,,
57.html,desert,"observe image, write answer",,,,,,
58.html,desert,"observe images, write answer",,,,,,
59.html,desert,"observe images, draw answer",,,,,,
60.html,desert,"observe images, link items",,,,,,
61.html,cafeteria,"observe image, write answer",,,,,,
62.html,cafeteria,"observe images, write answer",,,,,,
63.html,cafeteria,"observe images, draw answer",,,,,,
64.html,cafeteria,"observe images, link items",,,,,,
65.html,music,"observe image, write answer",,,,,,
66.html,music,"observe images, write answer",,,,,,
67.html,music,"observe images, draw answer",,,,,,
68.html,music,"observe images, link items",,,,,,
69.html,gardening,"observe image, write answer",,,,,,
70.html,gardening,"observe images, write answer",,,,,,
71.html,gardening,"observe images, draw answer",,,,,,
72.html,gardening,"observe images, link items",,,,,,
73.html,circus,"observe image, write answer",,,,,,
74.html,circus,"observe images, write answer",,,,,,
75.html,circus,"observe images, draw answer",,,,,,
76.html,circus,"observe images, link items",,,,,,
77.html,desert,"observe image, write answer",,,,,,
78.html,desert,"observe images, write answer",,,,,,
79.html,desert,"observe images, draw answer",,,,,,
80.html,desert,"observe images, link items",,,,,,
81.html,cafeteria,"observe image, write answer",,,,,,
82.html,cafeteria,"observe images, write answer",,,,,,
83.html,cafeteria,"observe images, draw answer",,,,,,
84.html,cafeteria,"observe images, link items",,,,,,
85.html,music,"observe image, write answer",,,,,,
86.html,music,"observe images, write answer",,,,,,
87.html,music,"observe images, draw answer",,,,,,
88.html,music,"observe images, link items",,,,,,
89.html,gardening,"observe image, write answer",,,,,,
90.html,gardening,"observe images, write answer",,,,,,
91.html,gardening,"observe images, draw answer",,,,,,
92.html,gardening,"observe images, link items",,,,,,
93.html,circus,"observe image, write answer",,,,,,
94.html,circus,"observe images, write answer",,,,,,
95.html,circus,"observe images, draw answer",,,,,,
96.html,circus,"observe images, link items",,,,,,
97.html,desert,"observe image, write answer",,,,,,
98.html,desert,"observe images, write answer",,,,,,
99.html,desert,"observe images, draw answer",,,,,,
100.html,desert,"observe images, link items",,,,,,
