Filename,Theme,Layout,layout_ok,answereable,explanations_ok,contextualiztion,image_descriptions
1.html,cafeteria,"observe image, write answer",1,1,1,1,1
2.html,cafeteria,"observe images, write answer",1,1,1,1,1
3.html,cafeteria,"observe images, draw answer",1,0,1,1,0
4.html,cafeteria,"observe images, link items",1,0,1,1,0
5.html,music,"observe image, write answer",1,0,0,1,1
6.html,music,"observe images, write answer",1,1,1,1,1
7.html,music,"observe images, draw answer",1,1,1,0,1
8.html,music,"observe images, link items",1,1,1,1,1
9.html,desert,"observe image, write answer",1,1,0,0,1
10.html,desert,"observe images, write answer",1,1,1,1,1
11.html,desert,"observe images, draw answer",0,1,1,0,1
12.html,desert,"observe images, link items",0,0,0,0,1
13.html,circus,"observe image, write answer",1,0,1,1,1
14.html,circus,"observe images, write answer",1,1,1,1,1
15.html,circus,"observe images, draw answer",1,1,1,1,1
16.html,circus,"observe images, link items",1,0,0,0,1
17.html,dinosaurs,"observe image, write answer",1,0,0,0,1
18.html,dinosaurs,"observe images, write answer",1,0,0,0,1
19.html,dinosaurs,"observe images, draw answer",0,0,1,1,1
20.html,dinosaurs,"observe images, link items",1,1,1,1,1
