model_name,lora_r,lora_alpha,lora_dropout,num_train_epochs,per_device_train_batch_size,per_device_eval_batch_size,gradient_accumulation_steps,max_grad_norm,learning_rate,weight_decay,optim,file_to_save_predictions
meta-llama/Meta-Llama-3-8B-instruct,1024.0,16.0,0.2,25,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-03 15:17:36.174541.txt
meta-llama/Meta-Llama-3-8B-instruct,1024.0,16.0,0.2,17,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-03 16:21:05.553042.txt
meta-llama/Meta-Llama-3-8B-instruct,512.0,16.0,0.4,17,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-03 16:48:29.511314.txt
meta-llama/Meta-Llama-3-8B-instruct,256.0,16.0,0.4,17,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-03 17:19:36.334631.txt
meta-llama/Meta-Llama-3-8B-instruct,128.0,16.0,0.4,17,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-03 18:59:12.442864.txt
meta-llama/Meta-Llama-3-8B-instruct,128.0,16.0,0.4,25,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-03 19:41:23.280601.txt
meta-llama/Meta-Llama-3-8B-instruct,128.0,16.0,0.4,10,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-04 14:58:42.350027.txt
meta-llama/Meta-Llama-3-8B-instruct,128.0,16.0,0.4,40,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-04 15:32:10.535664.txt
meta-llama/Meta-Llama-3-8B-instruct,128.0,16.0,0.6,25,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-04 16:24:52.401620.txt
meta-llama/Meta-Llama-3-8B-instruct,128.0,16.0,0.6,25,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-06 15:08:53.599060.txt
NousResearch/llama-2-13b-chat-hf,128.0,16.0,0.6,25,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-07 20:16:27.782367.txt
NousResearch/llama-2-13b-chat-hf,128.0,16.0,0.6,15,5,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-08 08:42:49.271204.txt
NousResearch/llama-2-13b-chat-hf,128.0,16.0,0.6,18,5,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-08 15:08:50.989664.txt
NousResearch/llama-2-13b-chat-hf,512.0,16.0,0.1,18,5,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-08 21:24:52.282201.txt
meta-llama/Meta-Llama-3-8B-instruct,128.0,16.0,0.6,25,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-17 16:55:59.227084.txt
meta-llama/Meta-Llama-3-8B-instruct,128.0,16.0,0.6,25,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-30 17:59:19.774183.txt
meta-llama/Meta-Llama-3-8B-instruct,128.0,16.0,0.6,25,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-30 17:59:19.774183.txt
meta-llama/Meta-Llama-3-8B-instruct,512.0,16.0,0.1,18,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-30 18:55:54.963042.txt
meta-llama/Meta-Llama-3-8B-instruct,1024.0,16.0,0.1,18,4,2.0,1.0,0.3,0.0002,0.001,paged_adamw_32bit,2024-05-30 19:53:41.381354.txt
ft:gpt-3.5-turbo-0125:ufcg::9V4NuDIv,,,,8,4,,,,10.0,,,2024-06-01 15:48:23.993118.txt
ft:gpt-3.5-turbo-0125:ufcg::9V4NtxId:ckpt-step-49,,,,8,4,,,,10.0,,,2024-06-01 15:55:10.989400.txt
ft:gpt-3.5-turbo-0125:ufcg::9XDwlpiA:ckpt-step-42,,,,7,4,,,,6.0,,,2024-06-06 17:34:30.608159.txt
ft:gpt-3.5-turbo-0125:ufcg::9XEImMdx:ckpt-step-25,,,,7,6,,,,6.0,,,2024-06-06 17:53:03.290811.txt
ft:gpt-3.5-turbo-0125:ufcg::AwAHus19,,,,6,10,,,,12.0,,,2025-02-02 11:07:28.874188.txt
ft:gpt-3.5-turbo-0125:ufcg::AyhluaJL,,,,6,15,,,,8.0,,,2025-02-08 13:24:08.687679.txt
ft:gpt-3.5-turbo-0125:ufcg::Bq7SEhiu,,,,4,10,,,,8.0,,,2025-07-06 12:10:04.615830.txt
ft:gpt-3.5-turbo-0125:ufcg::BqMgiLR0,,,,5,20,,,,10.0,,,2025-07-06 14:01:41.777371.txt
ft:gpt-3.5-turbo-0125:ufcg::BTEw6z95,,,,5,20,,,,10.0,,,2025-07-06 14:08:09.507446.txt
