task,index_question,N,Média,Mediana,Desvio_Padrão
Observar imagem e desenhar resposta,P1,12,4.67,5.0,0.65
Observar imagem e desenhar resposta,P2,12,4.0,4.0,1.21
Observar imagem e desenhar resposta,P3,12,4.75,5.0,0.45
Observar imagem e desenhar resposta,P4,12,4.58,5.0,0.9
Observar imagem e desenhar resposta,P5,12,4.25,4.5,0.97
Observar imagem e desenhar resposta,P6,12,4.0,5.0,1.35
Observar imagem e desenhar resposta,P7,12,3.67,4.0,1.23
Observar imagem e desenhar resposta,P8,12,3.42,4.0,1.08
Observar imagem e desenhar resposta,P9,12,4.08,4.0,0.9
Observar imagem e desenhar resposta,P10,12,3.92,4.0,0.79
Observar imagem e escrever resposta,P1,12,4.67,5.0,0.65
Observar imagem e escrever resposta,P2,12,4.67,5.0,0.89
Observar imagem e escrever resposta,P3,12,4.83,5.0,0.58
Observar imagem e escrever resposta,P4,12,4.75,5.0,0.45
Observar imagem e escrever resposta,P5,12,4.17,4.0,0.83
Observar imagem e escrever resposta,P6,12,4.67,5.0,0.49
Observar imagem e escrever resposta,P7,12,4.33,4.5,0.78
Observar imagem e escrever resposta,P8,12,3.58,4.0,0.51
Observar imagem e escrever resposta,P9,12,3.25,3.0,0.62
Observar imagem e escrever resposta,P10,12,1.75,1.0,1.06
Observar imagens e escrever resposta,P1,12,4.25,5.0,1.06
Observar imagens e escrever resposta,P2,12,4.17,4.5,1.11
Observar imagens e escrever resposta,P3,12,4.5,5.0,0.9
Observar imagens e escrever resposta,P4,12,4.5,5.0,0.67
Observar imagens e escrever resposta,P5,12,4.33,4.0,0.65
Observar imagens e escrever resposta,P6,12,4.25,4.5,0.97
Observar imagens e escrever resposta,P7,12,3.25,3.0,1.14
Observar imagens e escrever resposta,P8,12,3.33,3.5,0.78
Observar imagens e escrever resposta,P9,12,3.0,3.0,0.95
Observar imagens e escrever resposta,P10,12,2.17,2.0,1.4
Observar imagens e relacionar objetos,P1,12,3.83,4.5,1.59
Observar imagens e relacionar objetos,P2,12,4.17,4.5,1.03
Observar imagens e relacionar objetos,P3,12,4.58,5.0,0.9
Observar imagens e relacionar objetos,P4,12,4.08,4.5,1.24
Observar imagens e relacionar objetos,P5,12,4.25,4.0,0.62
Observar imagens e relacionar objetos,P6,12,4.08,4.0,1.16
Observar imagens e relacionar objetos,P7,12,3.42,4.0,1.16
Observar imagens e relacionar objetos,P8,12,3.17,3.0,0.58
Observar imagens e relacionar objetos,P9,12,3.08,3.0,0.67
Observar imagens e relacionar objetos,P10,12,2.83,3.0,1.19
