task,index_question,Mean_T0.5,Mean_T0.7,Median_T0.5,Median_T0.7,N_T0.5,N_T0.7,Std_Dev_T0.5,Std_Dev_T0.7
Observar imagem e desenhar resposta,P1,5.00,5.00,5.00,5.00,3.00,3.00,0.00,0.00
Observar imagem e desenhar resposta,P2,4.67,5.00,5.00,5.00,3.00,3.00,0.58,0.00
Observar imagem e desenhar resposta,P3,5.00,5.00,5.00,5.00,3.00,3.00,0.00,0.00
Observar imagem e desenhar resposta,P4,5.00,1.33,5.00,1.00,3.00,3.00,0.00,0.58
Observar imagem e desenhar resposta,P5,4.33,4.67,4.00,5.00,3.00,3.00,0.58,0.58
Observar imagem e desenhar resposta,P6,4.67,5.00,5.00,5.00,3.00,3.00,0.58,0.00
Observar imagem e desenhar resposta,P7,5.00,5.00,5.00,5.00,3.00,3.00,0.00,0.00
Observar imagem e desenhar resposta,P8,4.00,4.33,4.00,4.00,3.00,3.00,0.00,0.58
Observar imagem e desenhar resposta,P9,3.33,3.67,3.00,4.00,3.00,3.00,0.58,0.58
Observar imagem e desenhar resposta,P10,4.00,4.33,4.00,4.00,3.00,3.00,0.00,0.58
Observar imagem e escrever resposta,P1,1.33,5.00,1.00,5.00,3.00,3.00,0.58,0.00
Observar imagem e escrever resposta,P2,5.00,4.67,5.00,5.00,3.00,3.00,0.00,0.58
Observar imagem e escrever resposta,P3,5.00,5.00,5.00,5.00,3.00,3.00,0.00,0.00
Observar imagem e escrever resposta,P4,5.00,5.00,5.00,5.00,3.00,3.00,0.00,0.00
Observar imagem e escrever resposta,P5,4.67,4.00,5.00,4.00,3.00,3.00,0.58,1.00
Observar imagem e escrever resposta,P6,4.33,4.67,4.00,5.00,3.00,3.00,0.58,0.58
Observar imagem e escrever resposta,P7,1.67,4.67,2.00,5.00,3.00,3.00,0.58,0.58
Observar imagem e escrever resposta,P8,3.33,4.00,3.00,4.00,3.00,3.00,0.58,0.00
Observar imagem e escrever resposta,P9,3.00,4.00,3.00,4.00,3.00,3.00,0.00,0.00
Observar imagem e escrever resposta,P10,2.00,1.67,2.00,1.00,3.00,3.00,1.00,1.15
Observar imagens e escrever resposta,P1,2.67,4.67,2.00,5.00,3.00,3.00,2.08,0.58
Observar imagens e escrever resposta,P2,3.67,3.00,4.00,3.00,3.00,3.00,1.53,1.00
Observar imagens e escrever resposta,P3,5.00,3.33,5.00,3.00,3.00,3.00,0.00,1.53
Observar imagens e escrever resposta,P4,4.33,4.33,5.00,4.00,3.00,3.00,1.15,0.58
Observar imagens e escrever resposta,P5,4.67,3.67,5.00,4.00,3.00,3.00,0.58,0.58
Observar imagens e escrever resposta,P6,4.67,3.67,5.00,3.00,3.00,3.00,0.58,1.15
Observar imagens e escrever resposta,P7,3.33,3.00,4.00,2.00,3.00,3.00,1.15,1.73
Observar imagens e escrever resposta,P8,4.00,3.00,4.00,3.00,3.00,3.00,0.00,1.00
Observar imagens e escrever resposta,P9,3.00,3.33,3.00,4.00,3.00,3.00,0.00,1.15
Observar imagens e escrever resposta,P10,1.67,1.33,1.00,1.00,3.00,3.00,1.15,0.58
Observar imagens e relacionar objetos,P1,1.00,2.67,1.00,2.00,3.00,3.00,0.00,2.08
Observar imagens e relacionar objetos,P2,4.33,4.00,4.00,4.00,3.00,3.00,0.58,1.00
Observar imagens e relacionar objetos,P3,5.00,3.00,5.00,2.00,3.00,3.00,0.00,1.73
Observar imagens e relacionar objetos,P4,4.67,4.67,5.00,5.00,3.00,3.00,0.58,0.58
Observar imagens e relacionar objetos,P5,3.67,4.33,4.00,4.00,3.00,3.00,1.53,0.58
Observar imagens e relacionar objetos,P6,3.00,4.00,4.00,5.00,3.00,3.00,1.73,1.73
Observar imagens e relacionar objetos,P7,2.33,2.33,2.00,2.00,3.00,3.00,0.58,1.53
Observar imagens e relacionar objetos,P8,3.33,4.00,4.00,4.00,3.00,3.00,1.15,0.00
Observar imagens e relacionar objetos,P9,3.00,3.67,3.00,4.00,3.00,3.00,1.00,0.58
Observar imagens e relacionar objetos,P10,3.33,3.33,4.00,3.00,3.00,3.00,1.15,0.58
