task,index_question,Desvio_Padrão_T0.5,Desvio_Padrão_T0.7,Mediana_T0.5,Mediana_T0.7,Média_T0.5,Média_T0.7,N_T0.5,N_T0.7
Observar imagem e desenhar resposta,P1,0.00,0.00,5.00,5.00,5.00,5.00,3.00,3.00
Observar imagem e desenhar resposta,P2,0.58,0.00,5.00,5.00,4.67,5.00,3.00,3.00
Observar imagem e desenhar resposta,P3,0.00,0.00,5.00,5.00,5.00,5.00,3.00,3.00
Observar imagem e desenhar resposta,P4,0.00,0.58,5.00,1.00,5.00,1.33,3.00,3.00
Observar imagem e desenhar resposta,P5,0.58,0.58,4.00,5.00,4.33,4.67,3.00,3.00
Observar imagem e desenhar resposta,P6,0.58,0.00,5.00,5.00,4.67,5.00,3.00,3.00
Observar imagem e desenhar resposta,P7,0.00,0.00,5.00,5.00,5.00,5.00,3.00,3.00
Observar imagem e desenhar resposta,P8,0.00,0.58,4.00,4.00,4.00,4.33,3.00,3.00
Observar imagem e desenhar resposta,P9,0.58,0.58,3.00,4.00,3.33,3.67,3.00,3.00
Observar imagem e desenhar resposta,P10,0.00,0.58,4.00,4.00,4.00,4.33,3.00,3.00
Observar imagem e escrever resposta,P1,0.58,0.00,1.00,5.00,1.33,5.00,3.00,3.00
Observar imagem e escrever resposta,P2,0.00,0.58,5.00,5.00,5.00,4.67,3.00,3.00
Observar imagem e escrever resposta,P3,0.00,0.00,5.00,5.00,5.00,5.00,3.00,3.00
Observar imagem e escrever resposta,P4,0.00,0.00,5.00,5.00,5.00,5.00,3.00,3.00
Observar imagem e escrever resposta,P5,0.58,1.00,5.00,4.00,4.67,4.00,3.00,3.00
Observar imagem e escrever resposta,P6,0.58,0.58,4.00,5.00,4.33,4.67,3.00,3.00
Observar imagem e escrever resposta,P7,0.58,0.58,2.00,5.00,1.67,4.67,3.00,3.00
Observar imagem e escrever resposta,P8,0.58,0.00,3.00,4.00,3.33,4.00,3.00,3.00
Observar imagem e escrever resposta,P9,0.00,0.00,3.00,4.00,3.00,4.00,3.00,3.00
Observar imagem e escrever resposta,P10,1.00,1.15,2.00,1.00,2.00,1.67,3.00,3.00
Observar imagens e escrever resposta,P1,2.08,0.58,2.00,5.00,2.67,4.67,3.00,3.00
Observar imagens e escrever resposta,P2,1.53,1.00,4.00,3.00,3.67,3.00,3.00,3.00
Observar imagens e escrever resposta,P3,0.00,1.53,5.00,3.00,5.00,3.33,3.00,3.00
Observar imagens e escrever resposta,P4,1.15,0.58,5.00,4.00,4.33,4.33,3.00,3.00
Observar imagens e escrever resposta,P5,0.58,0.58,5.00,4.00,4.67,3.67,3.00,3.00
Observar imagens e escrever resposta,P6,0.58,1.15,5.00,3.00,4.67,3.67,3.00,3.00
Observar imagens e escrever resposta,P7,1.15,1.73,4.00,2.00,3.33,3.00,3.00,3.00
Observar imagens e escrever resposta,P8,0.00,1.00,4.00,3.00,4.00,3.00,3.00,3.00
Observar imagens e escrever resposta,P9,0.00,1.15,3.00,4.00,3.00,3.33,3.00,3.00
Observar imagens e escrever resposta,P10,1.15,0.58,1.00,1.00,1.67,1.33,3.00,3.00
Observar imagens e relacionar objetos,P1,0.00,2.08,1.00,2.00,1.00,2.67,3.00,3.00
Observar imagens e relacionar objetos,P2,0.58,1.00,4.00,4.00,4.33,4.00,3.00,3.00
Observar imagens e relacionar objetos,P3,0.00,1.73,5.00,2.00,5.00,3.00,3.00,3.00
Observar imagens e relacionar objetos,P4,0.58,0.58,5.00,5.00,4.67,4.67,3.00,3.00
Observar imagens e relacionar objetos,P5,1.53,0.58,4.00,4.00,3.67,4.33,3.00,3.00
Observar imagens e relacionar objetos,P6,1.73,1.73,4.00,5.00,3.00,4.00,3.00,3.00
Observar imagens e relacionar objetos,P7,0.58,1.53,2.00,2.00,2.33,2.33,3.00,3.00
Observar imagens e relacionar objetos,P8,1.15,0.00,4.00,4.00,3.33,4.00,3.00,3.00
Observar imagens e relacionar objetos,P9,1.00,0.58,3.00,4.00,3.00,3.67,3.00,3.00
Observar imagens e relacionar objetos,P10,1.15,0.58,4.00,3.00,3.33,3.33,3.00,3.00
